Key,English,German,Swedish,Lithuanian,Latvian
GuidedMode,Scenario 1 guided mode,Gesteuerter Modus,Guidat läge,Mokomasis režimas,Apmācības režīms
UnguidedMode,Scenario 1 exam mode,Szenario 1 Prüfungsmodus,Scenario 1 examensläge,Laisvas režimas,1. scenārija eksāmena režīms
Tutorial,Tutorial,Tutorial,Tutorial,Mokomoji priemonė[comma] pamoka,Pamācība
Options,Options,Optionen,Inställningar,Galimybės,Opcijas
Exit,Exit,Verlassen,Utgång,išėjimas,Iziet
DialogueVolume,Dialogue volume,Dialoglautstärke,Dialogvolym,Dialogo apimtis,Dialoga skaļums
SoundsVolume,Sounds volume,Klänglautstärke,Ljudvolym,Garso stiprumas,Skaņu skaļums
LanguageSettings,Language,Sprache,Språk,Kalba,Izvēlieties valodu
English,English,Englisch,Engelska,Anglų,Angļu
German,German,Deutsch,Tyska,Vokiečių,Vācu
Lithuanian,Lithuanian,Litauisch,Litauiska,Lietuvių,Lietuviešu
Latvian,Latvian,Lettisch,Lettisk,Latvių,Latviešu
Swedish,Swedish,Schwedisch,Svenska,Švedų,Zviedru
LocomotionSettings,Select movement type,Fortbewegungsart,Välj rörelsetyp,pasirinkite judėjimo tipą,Kustības tips
Teleport,Teleportation,Teleportation,Teleportering,Teleportacija,Teleportācija
Smooth,Smooth,gleichmäßig,Mjuk,sklandus[comma] vienodas,Līdzena
Mixed,Mixed,Gemischt,Blandad,Mišrus,Jaukts
Continue,Continue,Fortsetzen,Fortsätt,Tęsti,Turpināt
Restart,Restart,Neu starten,Börja om,Perkrauti,Restartēt
Menu,To menu,Zum Menü,Till menyn,Į meniu,Uz izvēlni
GenderSettings,Select gender,Geschlecht,Välj kön,Pasirinkite lytį,Izvēlieties dzimumu
GenderFemale,Female,Weiblich,Kvinna,Moteris,Sieviete
GenderMale,Male,Männlich,Man,Vyras,Vīrietis
WalkingSpeed,Walking speed,Schrittgeschwindigkeit,Gånghastighet,Ėjimo greitis,Pārvietošanās ātrums
MusicVolume,Music volume,Musiklautstärke,Musikvolym,Muzikos apimtis,Mūzikas skaļums
Start,Start,Start,Start,Pradėti,Sākt
Left,Left,Links,Vänster,Kairėje,Atstāts
Right,Right,Rechts,Höger,Dešinėje,Pa labi
LocomotionSettingsHand,Select movement hand,Fortbewegungshand,Välj rörelsehand,Pasirinkite judesio ranką,Atlasiet kustības roku
Assistant,Doctor's assistant,Arzthelfer,Doktorsassistent,Gydytojo padėjėjas,Ārsta palīgs
Nurse,Nurse,Krankenschwester,Sjuksköterska,Slaugytoja,Barot
QuestionsLeft,Questions left:,Fragen übrig:,Frågor kvar:,Liko klausimai:,Atlikušie jautājumi:
Yes,Yes,Ja,Ja,Taip,Jā
No,No,NEIN,Nej,Ne,Nē
Select hand,Select hand,Wählen Sie Hand,Välj hand,Pasirinkite Ranką,Atlasīt roku
Right handed,Right handed,Rechtshändig,Högerhänt,Dešiniarankiams,Labās rokas
Left handed,Left handed,Linkshändig,Vänsterhänt,Kairiarankis,Kreilis
ResetProgress,Reset progress,Fortschritt zurücksetzen,Återställ framsteg,Atstatykite pažangą,Atiestatīt progresu
MRDT,MRDT,MRDT,MRDT,MRDT,MRDT
ScenarioA,Scenario A,Szenario A,Scenario A,Scenarijus A,Scenārijs A
ScenarioB1,Scenario B.1,Szenario B.1,Scenario B.1,Scenarijus B.1,Scenārijs B.1
ScenarioB2,Scenario B.2,Szenario B.2,Scenario B.2,Scenarijus B.2,Scenārijs B.2
Reception,Reception,Rezeption,Reception,Priėmimas,Uzņemšana
StudyLanguage,Studied language,Studierte Sprache,Studerade språk,Studijavo kalbą,Studēja valoda
UILanguage,UI Language,UI -Sprache,Ränta,UI kalba,UI valoda